Name,Year,Rec,Yards,TD,Team Rec,Team Attempts,Team Yard,Team TD,MSREC,MSYD,MSTD,YPC,YDPTA,TDPTA,Rush Attempts,Rush Yards,Rush TD,P Ret,P Yds,P TD,K Ret,K Yds,K TD,BO Age,Age,Draft Pick,Height,Weight,40 time,Vert,Broad,3 cone,Shuttle,Adj CarAV
Deon Butler,2009,47,810,7,224,381,3160,24,0.209821429,0.256329114,0.291666667,17.23404255,2.125984252,0.018372703,4,-3,0,0,0,0,0,0,0,22,22,91,70,182,4.38,34.5,118,7.01,4.48,1.00
Maurice Stovall,2006,69,1149,11,294,454,3963,32,0.234693878,0.28993187,0.34375,16.65217391,2.530837004,0.024229075,2,1,0,0,0,0,2,29,0,20,20,90,76,217,4.58,35,122,6.81,4.14,0.71
AJ Jenkins,2012,90,1276,8,226,361,2392,14,0.398230088,0.533444816,0.571428571,14.17777778,3.534626039,0.022160665,6,25,0,0,0,0,38,773,1,21,22,30,72,190,4.39,38.5,124,6.73,4.12,0.67
Greg Salas,2011,119,1889,14,394,616,5520,42,0.302030457,0.342210145,0.333333333,15.87394958,3.066558442,0.022727273,0,0,0,10,55,0,0,0,0,21,22,112,73,210,4.56,37,120,6.65,4.1,0.67
Jeff Webb,2006,92,1109,10,246,401,2779,20,0.37398374,0.399064412,0.5,12.05434783,2.765586035,0.024937656,2,16,0,0,0,0,1,17,0,22,23,190,74,211,4.44,37,126,6.81,4.08,0.67
Junior Hemingway,2012,34,699,4,155,284,2377,22,0.219354839,0.294068153,0.181818182,20.55882353,2.461267606,0.014084507,5,9,0,11,120,0,2,20,0,23,23,238,73,225,4.53,35.5,124,6.59,3.98,0.67
DeVier Posey,2012,12,162,2,39,66,480,5,0.307692308,0.3375,0.4,13.5,2.454545455,0.03030303,3,13,0,1,24,0,1,24,0,19,21,68,73,211,4.5,36.5,123,7.03,4.15,0.67
Chad Jackson,2006,88,900,9,241,385,2720,20,0.365145228,0.330882353,0.45,10.22727273,2.337662338,0.023376623,17,90,2,9,35,0,10,188,0,20,20,36,73,213,4.34,38.5,122,6.73,3.97,0.67
David Reed,2010,81,1188,5,245,404,2980,19,0.330612245,0.398657718,0.263157895,14.66666667,2.940594059,0.012376238,5,19,1,1,3,0,33,796,0,22,22,156,72,191,4.6,37,114,6.95,4.38,0.50
Mardy Gilyard,2010,87,1191,11,311,470,4014,39,0.279742765,0.29671151,0.282051282,13.68965517,2.534042553,0.023404255,7,26,1,22,259,1,92,2657,4,22,23,99,72,187,4.64,39,116,6.92,4.4,0.50
Kealoha Pilares,2011,88,1306,15,394,616,5520,42,0.223350254,0.236594203,0.357142857,14.84090909,2.12012987,0.024350649,1,13,0,5,31,0,7,156,0,22,22,132,70,199,4.42,40.5,125,6.85,4.11,0.50
Juron Criner,2012,75,956,11,361,577,4051,28,0.207756233,0.235991113,0.392857143,12.74666667,1.656845754,0.019064125,17,129,0,0,0,0,0,0,0,21,22,168,74,224,4.68,38,117,7.15,4.3,0.50
Jerrel Jernigan,2011,84,822,6,334,521,3818,32,0.251497006,0.215295966,0.1875,9.785714286,1.577735125,0.011516315,132,892,5,29,372,1,67,1580,1,21,21,83,69,185,4.47,37.5,124,7.07,4.25,0.50
Todd Watkins,2006,49,678,9,332,515,3721,27,0.147590361,0.182209084,0.333333333,13.83673469,1.316504854,0.017475728,1,-4,0,0,0,0,0,0,0,21,22,218,74,202,4.44,36,118,7.13,4.24,0.50
Willie Reid,2006,50,634,1,303,526,3674,21,0.165016502,0.172563963,0.047619048,12.68,1.205323194,0.001901141,2,20,0,69,1063,3,16,304,0,23,23,95,70,188,4.37,37.5,117,7.06,4.26,0.50
Terrence Austin,2010,37,455,4,244,434,2896,10,0.151639344,0.15711326,0.4,12.2972973,1.048387097,0.00921659,23,146,0,95,942,0,89,2145,0,21,21,219,69,165,4.52,35.5,123,7.16,4.28,0.50
Taylor Price,2010,56,784,5,227,401,2745,22,0.246696035,0.2856102,0.227272727,14,1.955112219,0.012468828,24,125,0,5,26,0,10,179,0,22,22,90,72,204,4.41,37,114,6.82,4.34,0.33
Marcus Easley,2010,48,893,8,214,373,2815,16,0.224299065,0.31722913,0.5,18.60416667,2.394101877,0.021447721,1,11,0,0,0,0,0,0,0,22,22,107,74,210,4.46,34,123,6.94,4.6,0.25
Jordan White,2012,140,1911,17,369,552,4385,40,0.379403794,0.435803877,0.425,13.65,3.461956522,0.030797101,4,56,0,49,443,0,1,19,0,22,23,244,71,208,4.69,35,119,6.84,4.13,0.00
Mike Hass,2006,90,1532,6,267,459,3261,13,0.337078652,0.469794542,0.461538462,17.02222222,3.337690632,0.013071895,2,18,0,0,0,0,0,0,0,21,22,171,72,208,4.61,32,116,6.97,4.14,0.00
Brandon Williams,2006,59,1095,6,200,336,2969,22,0.295,0.368811047,0.272727273,18.55932203,3.258928571,0.017857143,19,118,0,32,438,2,106,2349,0,21,21,84,69,179,4.51,34.5,115,6.87,4.07,0.00
Marvin McNutt,2012,82,1315,12,240,411,3052,25,0.341666667,0.430865007,0.48,16.03658537,3.199513382,0.02919708,7,63,0,0,0,0,1,14,0,22,22,194,74,216,4.54,37,122,7.15,4.07,0.00
BJ Cunningham,2012,79,1306,12,288,450,3535,26,0.274305556,0.369448373,0.461538462,16.53164557,2.902222222,0.026666667,8,82,0,0,0,0,0,0,0,22,22,183,73,211,4.59,31.5,116,7.1,4.31,0.00
DeMarco Sampson,2011,67,1220,8,244,423,3840,28,0.274590164,0.317708333,0.285714286,18.20895522,2.884160757,0.01891253,8,9,0,2,2,0,7,110,0,25,25,249,74,204,4.41,35.5,120,6.93,4.26,0.00
Marko Mitchell,2009,61,1141,10,224,417,3000,22,0.272321429,0.380333333,0.454545455,18.70491803,2.736211031,0.023980815,5,92,0,0,0,0,0,0,0,22,23,243,75,218,4.49,32,116,7.04,4.33,0.00
Jeremy Ebert,2012,75,1060,11,289,405,3305,26,0.259515571,0.320726172,0.423076923,14.13333333,2.617283951,0.027160494,9,47,0,0,0,0,5,86,0,21,22,235,70,200,4.38,33,112,6.7,4.15,0.00
Carlton Mitchell,2010,40,706,4,141,291,2098,19,0.283687943,0.336510963,0.210526316,17.65,2.426116838,0.013745704,5,24,0,0,0,0,0,0,0,21,21,177,75,215,4.49,36,122,6.96,4.55,0.00
Tommy Streeter,2012,46,811,8,222,338,2785,21,0.207207207,0.291202873,0.380952381,17.63043478,2.399408284,0.023668639,0,0,0,0,0,0,0,0,0,22,22,198,77,219,4.4,33,125,7.08,4.36,0.00
Juaquin Iglesias,2009,74,1150,10,350,513,4891,51,0.211428571,0.235125741,0.196078431,15.54054054,2.2417154,0.019493177,12,109,1,5,12,0,63,1664,1,21,21,99,73,210,4.54,34.5,116,7.22,4.4,0.00
Danny Coale,2012,60,904,3,243,404,3166,21,0.24691358,0.285533797,0.142857143,15.06666667,2.237623762,0.007425743,13,45,0,10,74,0,0,0,0,23,23,152,72,201,4.5,35,115,6.69,4.15,0.00
Freddie Brown,2009,77,900,7,279,412,3169,29,0.275985663,0.284001262,0.24137931,11.68831169,2.184466019,0.016990291,0,0,0,0,0,0,0,0,0,22,22,252,74,215,4.57,36,113,6.85,4.24,0.00
Jonathan Orr,2006,40,688,8,200,337,2969,22,0.2,0.231727854,0.363636364,17.2,2.041543027,0.023738872,0,0,0,0,0,0,0,0,0,19,22,172,74,198,4.41,35.5,119,7.31,4.16,0.00
